threshold,number,distance,time
0.0,37.0,0.343,4.0
0.01,38851.0,0.372,3063.0
0.02,38851.0,0.372,3065.0
0.03,38851.0,0.372,3074.0
0.04,38851.0,0.372,3084.0
0.05,38851.0,0.372,3063.0
0.06,38851.0,0.372,3074.0
0.07,38851.0,0.372,3091.0
0.08,38851.0,0.372,3079.0
0.09,38851.0,0.372,3057.0
0.1,38851.0,0.372,3075.0
0.11,38851.0,0.372,3072.0
0.12,38851.0,0.372,3058.0
0.13,38851.0,0.372,3098.0
0.14,38851.0,0.372,3118.0
0.15,38851.0,0.372,3129.0
0.16,38851.0,0.372,3081.0
0.17,38851.0,0.372,3122.0
0.18,38851.0,0.372,3083.0
0.19,38851.0,0.372,3075.0
0.2,38851.0,0.372,3109.0
0.21,38851.0,0.372,3061.0
0.22,38851.0,0.372,3080.0
0.23,38851.0,0.372,3073.0
0.24,38851.0,0.372,3078.0
0.25,38851.0,0.372,3056.0
0.26,38851.0,0.372,3076.0
0.27,38851.0,0.372,3076.0
0.28,38851.0,0.372,3063.0
0.29,38851.0,0.372,3063.0
0.3,38851.0,0.372,3057.0
0.31,38851.0,0.372,3084.0
0.32,38851.0,0.372,3062.0
0.33,38851.0,0.372,3071.0
0.34,38851.0,0.372,3066.0
0.35,38851.0,0.372,3090.0
0.36,38851.0,0.372,3064.0
0.37,38851.0,0.372,3077.0
0.38,38851.0,0.372,3074.0
0.39,38851.0,0.372,3062.0
0.4,38851.0,0.372,3069.0
0.41,38851.0,0.372,3076.0
0.42,38851.0,0.372,3071.0
0.43,38860.0,0.376,2927.0
0.44,38863.0,0.376,2919.0
0.45,38988.0,0.376,2928.0
0.46,39664.0,0.376,2985.0
0.47,40615.0,0.376,3085.0
0.48,41854.0,0.376,3196.0
0.49,45054.0,0.376,3517.0
0.5,46911.0,0.376,3737.0
0.51,49333.0,0.376,4006.0
0.52,50511.0,0.376,4120.0
0.53,51539.0,0.376,4237.0
0.54,51791.0,0.376,4274.0
0.55,51871.0,0.376,4259.0
